Date,Platform,Content,Location
2025-06-14,X,This government is corrupt. Gather on 14/06 at Uhuru Park. #SaveKenya,Uhuru Park
2025-07-01,TikTok,We are fed up. Protest on 01/07 at Nairobi. #RutoMustGo,Nairobi
2025-06-25,X,#KenyaProtests – boycott at Parliament immediately,Parliament
2025-07-31,X,We are fed up – happening immediately at Uhuru Park! #SaveKenya,Uhuru Park
2025-06-02,X,Gen Z rising again! Meet at Kisumu for a gather. #OneTermPresident,Kisumu
2025-07-14,X,Gen Z rising again! Meet at Uhuru Park for a gather. #RejectFinanceBill2024,Uhuru Park
2025-06-02,TikTok,#OccupyParliament – strike at Kisumu act fast,Kisumu
2025-07-24,X,Gen Z rising again! Meet at Uhuru Park for a boycott. #KenyaProtests,Uhuru Park
2025-07-14,TikTok,Gen Z rising again! Meet at Mombasa for a gather. #YouthPower,Mombasa
2025-07-16,X,Strike on July 16 in Uhuru Park. This government is corrupt #SaveKenya,Uhuru Park
2025-07-24,X,Gather on July 24 in Parliament. They brutalized our people #OneTermPresident,Parliament
2025-06-22,TikTok,March on June 22 in Uhuru Park. They brutalized our people #GenZRevolution,Uhuru Park
2025-06-26,X,#OneTermPresident – gather at Kisumu immediately,Kisumu
2025-06-06,X,No justice no peace. Protest on 06/06 at Mombasa. #KenyaProtests,Mombasa
2025-06-08,X,They brutalized our people. Protest on 08/06 at Mombasa. #RutoMustGo,Mombasa
2025-07-24,Instagram,Protest on July 24 in Mombasa. This government is corrupt #GenZRevolution,Mombasa
2025-07-18,X,No justice no peace. Gather on 18/07 at Mombasa. #RejectFinanceBill2024,Mombasa
2025-07-19,X,We are fed up – happening now! at Kisumu! #GenZRevolution,Kisumu
2025-07-11,TikTok,March on July 11 in Mombasa. This government is corrupt #OneTermPresident,Mombasa
2025-06-29,Instagram,No justice no peace. March on 29/06 at Parliament. #RejectFinanceBill2024,Parliament
2025-07-07,TikTok,#RutoMustGo – strike at Parliament immediately,Parliament
2025-07-13,Instagram,Gen Z rising again! Meet at Uhuru Park for a strike. #OccupyParliament,Uhuru Park
2025-07-14,TikTok,Gen Z rising again! Meet at Uhuru Park for a gather. #GenZRevolution,Uhuru Park
2025-07-20,Instagram,#OneTermPresident – strike at Mombasa act fast,Mombasa
2025-06-12,X,We are fed up – happening urgent at Parliament! #RejectFinanceBill2024,Parliament
2025-06-24,Instagram,Gen Z rising again! Meet at Parliament for a gather. #GenZRevolution,Parliament
2025-06-18,TikTok,They brutalized our people – happening urgent at Uhuru Park! #OccupyParliament,Uhuru Park
2025-07-30,TikTok,We are fed up – happening urgent at Nairobi! #OccupyParliament,Nairobi
2025-06-29,Instagram,No justice no peace. Strike on 29/06 at Nairobi. #YouthPower,Nairobi
2025-06-15,X,This government is corrupt – happening immediately at Mombasa! #OccupyParliament,Mombasa
2025-07-05,TikTok,No justice no peace. Boycott on 05/07 at Nairobi. #OneTermPresident,Nairobi
2025-07-31,TikTok,#RejectFinanceBill2024 – gather at Kisumu now!,Kisumu
2025-07-17,X,Gen Z rising again! Meet at Mombasa for a strike. #YouthPower,Mombasa
2025-07-15,TikTok,They brutalized our people. Boycott on 15/07 at Uhuru Park. #KenyaProtests,Uhuru Park
2025-06-11,X,We are fed up – happening immediately at Kisumu! #SaveKenya,Kisumu
2025-07-09,Instagram,Gather on July 09 in Nairobi. No justice no peace #SaveKenya,Nairobi
2025-06-22,TikTok,They brutalized our people. Strike on 22/06 at Kisumu. #YouthPower,Kisumu
2025-07-15,X,Gather on July 15 in Uhuru Park. They brutalized our people #RejectFinanceBill2024,Uhuru Park
2025-06-22,X,Protest on June 22 in Uhuru Park. They brutalized our people #GenZRevolution,Uhuru Park
2025-06-10,TikTok,This government is corrupt – happening now! at Nairobi! #RutoMustGo,Nairobi
2025-07-12,Instagram,Gen Z rising again! Meet at Parliament for a march. #SaveKenya,Parliament
2025-06-12,Instagram,Strike on June 12 in Nairobi. We are fed up #RutoMustGo,Nairobi
2025-06-14,TikTok,They brutalized our people. Protest on 14/06 at Nairobi. #SaveKenya,Nairobi
2025-06-09,TikTok,Gen Z rising again! Meet at Uhuru Park for a protest. #OneTermPresident,Uhuru Park
2025-06-30,X,#RejectFinanceBill2024 – strike at Uhuru Park urgent,Uhuru Park
2025-06-04,X,We are fed up. Protest on 04/06 at Parliament. #SaveKenya,Parliament
2025-07-19,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #SaveKenya,Mombasa
2025-07-13,X,#GenZRevolution – boycott at Parliament immediately,Parliament
2025-07-13,TikTok,Gen Z rising again! Meet at Nairobi for a boycott. #SaveKenya,Nairobi
2025-06-27,TikTok,This government is corrupt – happening immediately at Kisumu! #OneTermPresident,Kisumu
2025-07-26,X,They brutalized our people. Protest on 26/07 at Kisumu. #KenyaProtests,Kisumu
2025-06-11,X,Gen Z rising again! Meet at Parliament for a strike. #GenZRevolution,Parliament
2025-06-13,TikTok,We are fed up. Boycott on 13/06 at Mombasa. #OneTermPresident,Mombasa
2025-06-04,X,#RejectFinanceBill2024 – march at Mombasa act fast,Mombasa
2025-06-20,X,Gen Z rising again! Meet at Uhuru Park for a boycott. #SaveKenya,Uhuru Park
2025-06-07,X,Gen Z rising again! Meet at Uhuru Park for a gather. #GenZRevolution,Uhuru Park
2025-07-28,Instagram,They brutalized our people – happening immediately at Kisumu! #GenZRevolution,Kisumu
2025-07-10,X,Gen Z rising again! Meet at Kisumu for a march. #SaveKenya,Kisumu
2025-07-26,TikTok,#OccupyParliament – gather at Nairobi immediately,Nairobi
2025-07-17,TikTok,Gen Z rising again! Meet at Uhuru Park for a boycott. #OccupyParliament,Uhuru Park
2025-06-16,Instagram,March on June 16 in Parliament. We are fed up #RutoMustGo,Parliament
2025-06-28,TikTok,#GenZRevolution – gather at Nairobi urgent,Nairobi
2025-06-15,Instagram,#OccupyParliament – strike at Parliament urgent,Parliament
2025-07-13,X,They brutalized our people – happening urgent at Parliament! #RutoMustGo,Parliament
2025-06-26,X,Gen Z rising again! Meet at Parliament for a strike. #KenyaProtests,Parliament
2025-06-09,TikTok,#GenZRevolution – protest at Kisumu now!,Kisumu
2025-06-06,Instagram,No justice no peace – happening now! at Nairobi! #OccupyParliament,Nairobi
2025-06-05,Instagram,Gen Z rising again! Meet at Mombasa for a protest. #KenyaProtests,Mombasa
2025-06-06,Instagram,No justice no peace – happening immediately at Kisumu! #OccupyParliament,Kisumu
2025-06-25,X,Gen Z rising again! Meet at Parliament for a gather. #YouthPower,Parliament
2025-06-09,X,#OccupyParliament – gather at Uhuru Park now!,Uhuru Park
2025-07-01,TikTok,Boycott on July 01 in Uhuru Park. This government is corrupt #GenZRevolution,Uhuru Park
2025-06-10,Instagram,This government is corrupt. March on 10/06 at Kisumu. #YouthPower,Kisumu
2025-06-14,TikTok,Gen Z rising again! Meet at Nairobi for a boycott. #RejectFinanceBill2024,Nairobi
2025-07-07,Instagram,#RutoMustGo – protest at Mombasa immediately,Mombasa
2025-06-04,TikTok,#GenZRevolution – march at Mombasa act fast,Mombasa
2025-07-02,Instagram,#RutoMustGo – strike at Uhuru Park urgent,Uhuru Park
2025-06-06,Instagram,Gen Z rising again! Meet at Uhuru Park for a gather. #KenyaProtests,Uhuru Park
2025-07-14,X,No justice no peace – happening urgent at Nairobi! #KenyaProtests,Nairobi
2025-06-22,TikTok,Gen Z rising again! Meet at Mombasa for a protest. #OccupyParliament,Mombasa
2025-06-10,TikTok,This government is corrupt. March on 10/06 at Mombasa. #OccupyParliament,Mombasa
2025-07-16,Instagram,Gen Z rising again! Meet at Uhuru Park for a protest. #RejectFinanceBill2024,Uhuru Park
2025-07-20,Instagram,#OccupyParliament – protest at Nairobi now!,Nairobi
2025-06-13,Instagram,#RutoMustGo – boycott at Kisumu immediately,Kisumu
2025-07-12,TikTok,This government is corrupt. Gather on 12/07 at Mombasa. #GenZRevolution,Mombasa
2025-06-10,X,They brutalized our people – happening act fast at Mombasa! #YouthPower,Mombasa
2025-06-03,X,No justice no peace – happening now! at Parliament! #GenZRevolution,Parliament
2025-06-24,X,March on June 24 in Mombasa. They brutalized our people #SaveKenya,Mombasa
2025-06-26,X,Gen Z rising again! Meet at Parliament for a march. #OccupyParliament,Parliament
2025-06-23,X,Gen Z rising again! Meet at Parliament for a boycott. #OccupyParliament,Parliament
2025-07-03,X,This government is corrupt. Protest on 03/07 at Mombasa. #KenyaProtests,Mombasa
2025-06-14,X,Protest on June 14 in Uhuru Park. This government is corrupt #OccupyParliament,Uhuru Park
2025-06-28,X,No justice no peace. Strike on 28/06 at Kisumu. #OneTermPresident,Kisumu
2025-06-05,Instagram,Boycott on June 05 in Kisumu. This government is corrupt #SaveKenya,Kisumu
2025-06-29,Instagram,Protest on June 29 in Nairobi. This government is corrupt #GenZRevolution,Nairobi
2025-06-30,Instagram,#YouthPower – march at Uhuru Park now!,Uhuru Park
2025-07-22,X,#RejectFinanceBill2024 – march at Uhuru Park urgent,Uhuru Park
2025-06-28,X,March on June 28 in Mombasa. We are fed up #KenyaProtests,Mombasa
2025-06-25,Instagram,Gen Z rising again! Meet at Kisumu for a strike. #YouthPower,Kisumu
2025-06-05,TikTok,Gen Z rising again! Meet at Kisumu for a protest. #OccupyParliament,Kisumu
2025-06-17,X,They brutalized our people. Protest on 17/06 at Kisumu. #RejectFinanceBill2024,Kisumu
2025-07-09,Instagram,They brutalized our people – happening urgent at Nairobi! #YouthPower,Nairobi
2025-06-16,X,March on June 16 in Kisumu. They brutalized our people #GenZRevolution,Kisumu
2025-07-07,Instagram,#RejectFinanceBill2024 – protest at Mombasa act fast,Mombasa
2025-06-17,TikTok,#OneTermPresident – gather at Uhuru Park now!,Uhuru Park
2025-06-30,Instagram,Gen Z rising again! Meet at Kisumu for a boycott. #OccupyParliament,Kisumu
2025-07-06,X,This government is corrupt – happening now! at Kisumu! #YouthPower,Kisumu
2025-06-24,TikTok,Gen Z rising again! Meet at Kisumu for a march. #YouthPower,Kisumu
2025-07-03,X,We are fed up – happening immediately at Uhuru Park! #KenyaProtests,Uhuru Park
2025-07-13,TikTok,Strike on July 13 in Parliament. No justice no peace #SaveKenya,Parliament
2025-06-04,TikTok,They brutalized our people. Strike on 04/06 at Kisumu. #OccupyParliament,Kisumu
2025-06-27,X,Gen Z rising again! Meet at Kisumu for a protest. #RutoMustGo,Kisumu
2025-07-17,Instagram,Gen Z rising again! Meet at Uhuru Park for a gather. #SaveKenya,Uhuru Park
2025-07-14,X,#KenyaProtests – protest at Uhuru Park now!,Uhuru Park
2025-07-21,X,Protest on July 21 in Uhuru Park. We are fed up #OneTermPresident,Uhuru Park
2025-06-25,TikTok,We are fed up. Boycott on 25/06 at Uhuru Park. #KenyaProtests,Uhuru Park
2025-06-17,Instagram,Gen Z rising again! Meet at Parliament for a gather. #OneTermPresident,Parliament
2025-07-08,X,Strike on July 08 in Nairobi. They brutalized our people #OneTermPresident,Nairobi
2025-06-08,Instagram,#OneTermPresident – boycott at Uhuru Park urgent,Uhuru Park
2025-07-16,TikTok,Gen Z rising again! Meet at Kisumu for a march. #RejectFinanceBill2024,Kisumu
2025-07-04,Instagram,#SaveKenya – strike at Parliament immediately,Parliament
2025-06-29,X,Gen Z rising again! Meet at Nairobi for a protest. #SaveKenya,Nairobi
2025-06-10,TikTok,No justice no peace. Strike on 10/06 at Nairobi. #GenZRevolution,Nairobi
2025-07-15,TikTok,Gen Z rising again! Meet at Uhuru Park for a boycott. #SaveKenya,Uhuru Park
2025-07-21,Instagram,#GenZRevolution – boycott at Mombasa immediately,Mombasa
2025-06-14,X,Boycott on June 14 in Nairobi. No justice no peace #RutoMustGo,Nairobi
2025-07-22,X,Gen Z rising again! Meet at Kisumu for a boycott. #OneTermPresident,Kisumu
2025-06-07,Instagram,Strike on June 07 in Parliament. No justice no peace #KenyaProtests,Parliament
2025-06-12,X,#OccupyParliament – gather at Nairobi now!,Nairobi
2025-06-15,TikTok,#RejectFinanceBill2024 – gather at Mombasa urgent,Mombasa
2025-06-30,X,Boycott on June 30 in Mombasa. We are fed up #GenZRevolution,Mombasa
2025-07-08,X,Gen Z rising again! Meet at Uhuru Park for a boycott. #SaveKenya,Uhuru Park
2025-07-13,TikTok,We are fed up. Boycott on 13/07 at Kisumu. #YouthPower,Kisumu
2025-07-23,Instagram,Strike on July 23 in Kisumu. They brutalized our people #GenZRevolution,Kisumu
2025-07-03,X,Gen Z rising again! Meet at Parliament for a gather. #YouthPower,Parliament
2025-07-30,X,This government is corrupt – happening act fast at Uhuru Park! #OccupyParliament,Uhuru Park
2025-07-30,X,#KenyaProtests – strike at Uhuru Park urgent,Uhuru Park
2025-07-11,X,Strike on July 11 in Mombasa. They brutalized our people #OneTermPresident,Mombasa
2025-06-12,TikTok,This government is corrupt. Boycott on 12/06 at Uhuru Park. #OneTermPresident,Uhuru Park
2025-06-18,X,Strike on June 18 in Kisumu. They brutalized our people #RutoMustGo,Kisumu
2025-06-08,TikTok,They brutalized our people – happening immediately at Nairobi! #RutoMustGo,Nairobi
2025-06-06,X,No justice no peace – happening act fast at Mombasa! #SaveKenya,Mombasa
2025-07-20,Instagram,Gen Z rising again! Meet at Mombasa for a strike. #YouthPower,Mombasa
2025-07-03,Instagram,#KenyaProtests – strike at Mombasa now!,Mombasa
2025-06-13,TikTok,Gen Z rising again! Meet at Parliament for a gather. #GenZRevolution,Parliament
2025-07-20,Instagram,#RejectFinanceBill2024 – protest at Parliament immediately,Parliament
2025-06-26,X,#OccupyParliament – protest at Mombasa now!,Mombasa
2025-07-01,X,No justice no peace – happening now! at Kisumu! #YouthPower,Kisumu
2025-07-20,X,Protest on July 20 in Parliament. They brutalized our people #GenZRevolution,Parliament
2025-07-05,Instagram,#YouthPower – boycott at Parliament now!,Parliament
2025-07-09,Instagram,Gen Z rising again! Meet at Uhuru Park for a march. #RutoMustGo,Uhuru Park
2025-06-13,X,This government is corrupt. Boycott on 13/06 at Mombasa. #OneTermPresident,Mombasa
2025-06-24,Instagram,No justice no peace. Gather on 24/06 at Nairobi. #SaveKenya,Nairobi
2025-06-21,X,We are fed up – happening immediately at Mombasa! #RutoMustGo,Mombasa
2025-06-14,Instagram,Protest on June 14 in Uhuru Park. They brutalized our people #GenZRevolution,Uhuru Park
2025-06-24,Instagram,#OccupyParliament – march at Uhuru Park immediately,Uhuru Park
2025-06-03,TikTok,Protest on June 03 in Nairobi. This government is corrupt #RejectFinanceBill2024,Nairobi
2025-06-04,Instagram,Gen Z rising again! Meet at Kisumu for a strike. #YouthPower,Kisumu
2025-06-24,TikTok,They brutalized our people. Protest on 24/06 at Mombasa. #OccupyParliament,Mombasa
2025-07-10,Instagram,No justice no peace – happening immediately at Mombasa! #KenyaProtests,Mombasa
2025-07-30,X,They brutalized our people. Strike on 30/07 at Kisumu. #RutoMustGo,Kisumu
2025-07-31,X,March on July 31 in Kisumu. No justice no peace #YouthPower,Kisumu
2025-06-24,Instagram,#RutoMustGo – strike at Parliament urgent,Parliament
2025-07-15,X,This government is corrupt – happening immediately at Parliament! #RejectFinanceBill2024,Parliament
2025-06-26,X,We are fed up – happening immediately at Kisumu! #YouthPower,Kisumu
2025-06-09,X,They brutalized our people. Protest on 09/06 at Parliament. #RejectFinanceBill2024,Parliament
2025-06-09,TikTok,#RutoMustGo – protest at Nairobi immediately,Nairobi
2025-07-29,TikTok,No justice no peace – happening now! at Mombasa! #KenyaProtests,Mombasa
2025-06-06,X,They brutalized our people – happening urgent at Parliament! #GenZRevolution,Parliament
2025-06-21,TikTok,Protest on June 21 in Mombasa. We are fed up #GenZRevolution,Mombasa
2025-07-01,TikTok,No justice no peace. Boycott on 01/07 at Kisumu. #SaveKenya,Kisumu
2025-07-10,Instagram,Gen Z rising again! Meet at Mombasa for a strike. #RutoMustGo,Mombasa
2025-06-01,TikTok,No justice no peace. Boycott on 01/06 at Mombasa. #KenyaProtests,Mombasa
2025-06-28,X,We are fed up – happening act fast at Uhuru Park! #OccupyParliament,Uhuru Park
2025-06-11,X,Gen Z rising again! Meet at Mombasa for a strike. #RejectFinanceBill2024,Mombasa
2025-06-01,TikTok,Gen Z rising again! Meet at Nairobi for a march. #RutoMustGo,Nairobi
2025-06-25,TikTok,Protest on June 25 in Parliament. This government is corrupt #YouthPower,Parliament
2025-07-20,X,Strike on July 20 in Uhuru Park. We are fed up #OccupyParliament,Uhuru Park
2025-06-06,X,We are fed up – happening now! at Parliament! #GenZRevolution,Parliament
2025-06-08,X,Protest on June 08 in Kisumu. We are fed up #GenZRevolution,Kisumu
2025-07-18,X,This government is corrupt – happening immediately at Parliament! #SaveKenya,Parliament
2025-07-18,Instagram,This government is corrupt. Boycott on 18/07 at Parliament. #KenyaProtests,Parliament
2025-07-20,Instagram,They brutalized our people – happening immediately at Mombasa! #GenZRevolution,Mombasa
2025-06-20,Instagram,Gen Z rising again! Meet at Kisumu for a march. #RutoMustGo,Kisumu
2025-07-01,Instagram,This government is corrupt – happening act fast at Nairobi! #OneTermPresident,Nairobi
2025-06-14,Instagram,They brutalized our people. Boycott on 14/06 at Nairobi. #OneTermPresident,Nairobi
2025-06-04,X,March on June 04 in Parliament. This government is corrupt #YouthPower,Parliament
2025-07-12,Instagram,#RutoMustGo – strike at Uhuru Park now!,Uhuru Park
2025-06-12,TikTok,Boycott on June 12 in Kisumu. They brutalized our people #SaveKenya,Kisumu
2025-06-24,X,No justice no peace – happening urgent at Uhuru Park! #YouthPower,Uhuru Park
2025-07-09,Instagram,They brutalized our people – happening act fast at Kisumu! #KenyaProtests,Kisumu
2025-07-29,TikTok,We are fed up – happening urgent at Uhuru Park! #YouthPower,Uhuru Park
2025-06-20,Instagram,Boycott on June 20 in Mombasa. They brutalized our people #KenyaProtests,Mombasa
2025-07-29,X,Gen Z rising again! Meet at Nairobi for a march. #OccupyParliament,Nairobi
2025-06-16,X,#YouthPower – march at Uhuru Park urgent,Uhuru Park
2025-06-11,X,They brutalized our people – happening act fast at Kisumu! #RutoMustGo,Kisumu
2025-07-23,X,They brutalized our people. Boycott on 23/07 at Nairobi. #RejectFinanceBill2024,Nairobi
2025-06-25,X,They brutalized our people. Strike on 25/06 at Mombasa. #OneTermPresident,Mombasa
2025-06-17,X,Strike on June 17 in Mombasa. No justice no peace #OccupyParliament,Mombasa
2025-07-05,TikTok,Protest on July 05 in Uhuru Park. We are fed up #RutoMustGo,Uhuru Park
2025-06-07,TikTok,Protest on June 07 in Mombasa. This government is corrupt #GenZRevolution,Mombasa
2025-07-31,TikTok,This government is corrupt – happening urgent at Parliament! #RejectFinanceBill2024,Parliament
2025-06-08,Instagram,We are fed up – happening urgent at Parliament! #SaveKenya,Parliament
2025-06-20,Instagram,No justice no peace – happening now! at Uhuru Park! #GenZRevolution,Uhuru Park
2025-07-08,Instagram,This government is corrupt. Boycott on 08/07 at Mombasa. #OccupyParliament,Mombasa
2025-06-09,TikTok,We are fed up. Protest on 09/06 at Nairobi. #OneTermPresident,Nairobi
2025-07-31,X,#YouthPower – boycott at Nairobi now!,Nairobi
2025-07-31,TikTok,They brutalized our people – happening urgent at Nairobi! #KenyaProtests,Nairobi
2025-07-07,TikTok,We are fed up – happening immediately at Mombasa! #KenyaProtests,Mombasa
2025-06-02,X,#RutoMustGo – gather at Nairobi urgent,Nairobi
2025-07-27,X,Boycott on July 27 in Uhuru Park. This government is corrupt #GenZRevolution,Uhuru Park
2025-07-31,X,This government is corrupt. March on 31/07 at Mombasa. #RejectFinanceBill2024,Mombasa
2025-07-30,TikTok,#SaveKenya – gather at Parliament immediately,Parliament
2025-07-02,X,No justice no peace – happening now! at Mombasa! #KenyaProtests,Mombasa
2025-07-27,Instagram,Boycott on July 27 in Nairobi. They brutalized our people #YouthPower,Nairobi
2025-06-30,Instagram,This government is corrupt – happening urgent at Nairobi! #GenZRevolution,Nairobi
2025-06-21,X,#YouthPower – strike at Kisumu urgent,Kisumu
2025-07-17,X,This government is corrupt. March on 17/07 at Kisumu. #KenyaProtests,Kisumu
2025-06-08,X,#SaveKenya – boycott at Uhuru Park immediately,Uhuru Park
2025-07-30,Instagram,#GenZRevolution – strike at Mombasa act fast,Mombasa
2025-07-04,TikTok,They brutalized our people – happening act fast at Nairobi! #OneTermPresident,Nairobi
2025-07-21,TikTok,They brutalized our people – happening act fast at Mombasa! #OccupyParliament,Mombasa
2025-06-16,X,No justice no peace. Strike on 16/06 at Nairobi. #KenyaProtests,Nairobi
2025-06-05,TikTok,No justice no peace – happening immediately at Parliament! #YouthPower,Parliament
2025-06-25,TikTok,We are fed up – happening immediately at Mombasa! #RejectFinanceBill2024,Mombasa
2025-07-02,X,They brutalized our people. March on 02/07 at Kisumu. #YouthPower,Kisumu
2025-07-14,TikTok,This government is corrupt. Boycott on 14/07 at Kisumu. #GenZRevolution,Kisumu
2025-06-18,Instagram,Strike on June 18 in Mombasa. This government is corrupt #KenyaProtests,Mombasa
2025-06-07,Instagram,This government is corrupt – happening act fast at Uhuru Park! #SaveKenya,Uhuru Park
2025-07-16,Instagram,They brutalized our people – happening immediately at Nairobi! #YouthPower,Nairobi
2025-07-16,Instagram,They brutalized our people – happening immediately at Nairobi! #SaveKenya,Nairobi
2025-07-01,Instagram,We are fed up – happening immediately at Mombasa! #RejectFinanceBill2024,Mombasa
2025-07-14,X,Gen Z rising again! Meet at Kisumu for a boycott. #GenZRevolution,Kisumu
2025-06-29,X,This government is corrupt. March on 29/06 at Mombasa. #YouthPower,Mombasa
2025-07-11,Instagram,Boycott on July 11 in Kisumu. This government is corrupt #KenyaProtests,Kisumu
2025-07-18,Instagram,No justice no peace – happening urgent at Parliament! #KenyaProtests,Parliament
2025-07-13,Instagram,#GenZRevolution – gather at Mombasa act fast,Mombasa
2025-06-01,Instagram,Gen Z rising again! Meet at Mombasa for a strike. #KenyaProtests,Mombasa
2025-06-04,X,Boycott on June 04 in Uhuru Park. This government is corrupt #SaveKenya,Uhuru Park
2025-07-05,TikTok,Gen Z rising again! Meet at Mombasa for a march. #OccupyParliament,Mombasa
2025-06-25,X,#YouthPower – gather at Nairobi immediately,Nairobi
2025-07-31,TikTok,March on July 31 in Mombasa. No justice no peace #OneTermPresident,Mombasa
2025-07-04,X,#YouthPower – protest at Kisumu now!,Kisumu
2025-06-07,X,Gen Z rising again! Meet at Parliament for a gather. #KenyaProtests,Parliament
2025-07-11,X,#RutoMustGo – march at Nairobi now!,Nairobi
2025-07-06,TikTok,No justice no peace – happening now! at Mombasa! #KenyaProtests,Mombasa
2025-06-15,X,Gen Z rising again! Meet at Nairobi for a protest. #RutoMustGo,Nairobi
2025-06-09,TikTok,They brutalized our people – happening urgent at Kisumu! #OneTermPresident,Kisumu
2025-07-31,X,We are fed up – happening urgent at Nairobi! #RejectFinanceBill2024,Nairobi
2025-06-06,TikTok,They brutalized our people. Boycott on 06/06 at Uhuru Park. #OneTermPresident,Uhuru Park
2025-06-22,X,#OneTermPresident – gather at Nairobi now!,Nairobi
2025-06-24,TikTok,They brutalized our people – happening urgent at Mombasa! #OccupyParliament,Mombasa
2025-07-28,Instagram,We are fed up – happening now! at Parliament! #OccupyParliament,Parliament
2025-07-11,TikTok,Protest on July 11 in Parliament. They brutalized our people #RutoMustGo,Parliament
2025-07-27,TikTok,#OccupyParliament – boycott at Parliament act fast,Parliament
2025-07-17,Instagram,Strike on July 17 in Uhuru Park. This government is corrupt #KenyaProtests,Uhuru Park
2025-07-04,Instagram,Gen Z rising again! Meet at Parliament for a strike. #OneTermPresident,Parliament
2025-06-26,X,No justice no peace. March on 26/06 at Nairobi. #RutoMustGo,Nairobi
2025-06-21,X,No justice no peace – happening act fast at Mombasa! #RejectFinanceBill2024,Mombasa
2025-07-19,TikTok,Gather on July 19 in Mombasa. This government is corrupt #SaveKenya,Mombasa
2025-06-01,X,#OneTermPresident – gather at Parliament urgent,Parliament
2025-06-11,X,#OccupyParliament – march at Nairobi urgent,Nairobi
2025-06-24,Instagram,#SaveKenya – protest at Nairobi urgent,Nairobi
2025-07-23,X,They brutalized our people. Protest on 23/07 at Mombasa. #OccupyParliament,Mombasa
2025-07-24,TikTok,Gen Z rising again! Meet at Nairobi for a march. #SaveKenya,Nairobi
2025-06-09,Instagram,They brutalized our people. Boycott on 09/06 at Uhuru Park. #OccupyParliament,Uhuru Park
2025-07-27,Instagram,Gen Z rising again! Meet at Nairobi for a boycott. #YouthPower,Nairobi
2025-06-04,TikTok,Strike on June 04 in Kisumu. We are fed up #KenyaProtests,Kisumu
2025-06-04,TikTok,Boycott on June 04 in Kisumu. We are fed up #OccupyParliament,Kisumu
2025-07-29,TikTok,They brutalized our people – happening immediately at Kisumu! #RejectFinanceBill2024,Kisumu
2025-06-15,X,This government is corrupt – happening act fast at Mombasa! #OccupyParliament,Mombasa
2025-07-07,TikTok,Gen Z rising again! Meet at Parliament for a boycott. #GenZRevolution,Parliament
2025-06-05,Instagram,Boycott on June 05 in Parliament. We are fed up #YouthPower,Parliament
2025-06-12,X,No justice no peace. Strike on 12/06 at Nairobi. #OneTermPresident,Nairobi
2025-06-23,X,This government is corrupt. Protest on 23/06 at Parliament. #YouthPower,Parliament
2025-06-05,TikTok,We are fed up. March on 05/06 at Mombasa. #KenyaProtests,Mombasa
2025-06-02,TikTok,Gen Z rising again! Meet at Mombasa for a boycott. #RutoMustGo,Mombasa
2025-06-06,Instagram,No justice no peace – happening immediately at Mombasa! #RejectFinanceBill2024,Mombasa
2025-06-07,TikTok,#RutoMustGo – gather at Uhuru Park immediately,Uhuru Park
2025-07-25,TikTok,We are fed up. Gather on 25/07 at Nairobi. #YouthPower,Nairobi
2025-06-28,X,#SaveKenya – gather at Kisumu now!,Kisumu
2025-07-15,X,This government is corrupt – happening act fast at Uhuru Park! #OneTermPresident,Uhuru Park
2025-06-22,X,No justice no peace. Strike on 22/06 at Nairobi. #KenyaProtests,Nairobi
2025-07-09,X,#RutoMustGo – boycott at Kisumu now!,Kisumu
2025-06-20,TikTok,March on June 20 in Kisumu. We are fed up #RutoMustGo,Kisumu
2025-06-22,X,#GenZRevolution – strike at Parliament urgent,Parliament
2025-06-28,Instagram,Boycott on June 28 in Kisumu. They brutalized our people #OneTermPresident,Kisumu
2025-06-11,X,Gen Z rising again! Meet at Nairobi for a march. #SaveKenya,Nairobi
2025-06-12,TikTok,Gen Z rising again! Meet at Parliament for a strike. #GenZRevolution,Parliament
2025-06-20,Instagram,#RejectFinanceBill2024 – march at Parliament immediately,Parliament
2025-06-18,TikTok,Protest on June 18 in Mombasa. We are fed up #YouthPower,Mombasa
2025-07-10,TikTok,No justice no peace. Protest on 10/07 at Parliament. #OccupyParliament,Parliament
2025-06-23,TikTok,No justice no peace. Boycott on 23/06 at Kisumu. #OccupyParliament,Kisumu
2025-06-20,X,They brutalized our people. Gather on 20/06 at Mombasa. #OneTermPresident,Mombasa
2025-07-28,X,They brutalized our people. Strike on 28/07 at Parliament. #YouthPower,Parliament
2025-07-29,TikTok,Protest on July 29 in Nairobi. They brutalized our people #GenZRevolution,Nairobi
2025-06-12,X,No justice no peace. March on 12/06 at Uhuru Park. #RejectFinanceBill2024,Uhuru Park
2025-06-02,Instagram,Gen Z rising again! Meet at Mombasa for a boycott. #SaveKenya,Mombasa
2025-06-07,X,Gen Z rising again! Meet at Nairobi for a boycott. #RutoMustGo,Nairobi
2025-07-27,Instagram,They brutalized our people – happening urgent at Nairobi! #OccupyParliament,Nairobi
2025-07-15,TikTok,Gather on July 15 in Uhuru Park. This government is corrupt #RutoMustGo,Uhuru Park
2025-06-23,TikTok,We are fed up – happening urgent at Kisumu! #RutoMustGo,Kisumu
2025-07-23,TikTok,This government is corrupt. March on 23/07 at Mombasa. #KenyaProtests,Mombasa
2025-06-05,X,This government is corrupt – happening now! at Uhuru Park! #RutoMustGo,Uhuru Park
